Iterations,Build_NlogN,Build_N
3790010,0.086000,0.071000
3800010,0.086000,0.073000
3810010,0.085000,0.072000
3820010,0.087000,0.071000
3830010,0.090000,0.071000
3840010,0.090000,0.071000
3850010,0.087000,0.073000
3860010,0.088000,0.071000
3870010,0.091000,0.071000
3880010,0.101000,0.076000
3890010,0.091000,0.070000
3900010,0.089000,0.093000
3910010,0.126000,0.082000
3920010,0.094000,0.073000
3930010,0.103000,0.073000
3940010,0.092000,0.076000
3950010,0.093000,0.074000
3960010,0.094000,0.074000
3970010,0.093000,0.073000
3980010,0.097000,0.094000
3990010,0.096000,0.071000
4000010,0.091000,0.075000
4010010,0.095000,0.073000
4020010,0.095000,0.073000
4030010,0.093000,0.075000
4040010,0.093000,0.073000
4050010,0.094000,0.075000
4060010,0.095000,0.075000
4070010,0.095000,0.073000
4080010,0.096000,0.073000
4090010,0.093000,0.076000
4100010,0.094000,0.076000
4110010,0.095000,0.076000
4120010,0.095000,0.076000
4130010,0.095000,0.076000
4140010,0.097000,0.077000
4150010,0.096000,0.075000
4160010,0.095000,0.075000
4170010,0.097000,0.075000
4180010,0.096000,0.081000
4190010,0.099000,0.076000
4200010,0.097000,0.076000
4210010,0.098000,0.076000
4220010,0.099000,0.076000
4230010,0.100000,0.077000
4240010,0.098000,0.077000
4250010,0.109000,0.085000
4260010,0.100000,0.076000
4270010,0.101000,0.078000
4280010,0.099000,0.078000
4290010,0.099000,0.077000
4300010,0.099000,0.078000
4310010,0.099000,0.078000
4320010,0.101000,0.076000
4330010,0.101000,0.079000
4340010,0.100000,0.079000
4350010,0.101000,0.080000
4360010,0.100000,0.079000
4370010,0.103000,0.078000
4380010,0.102000,0.077000
4390010,0.103000,0.079000
4400010,0.102000,0.080000
4410010,0.105000,0.080000
4420010,0.103000,0.079000
4430010,0.104000,0.081000
4440010,0.108000,0.078000
4450010,0.103000,0.080000
4460010,0.107000,0.081000
4470010,0.104000,0.082000
4480010,0.105000,0.082000
4490010,0.105000,0.083000
4500010,0.104000,0.081000
4510010,0.107000,0.082000
4520010,0.105000,0.083000
4530010,0.104000,0.082000
4540010,0.105000,0.082000
4550010,0.104000,0.083000
4560010,0.107000,0.087000
4570010,0.106000,0.084000
4580010,0.105000,0.083000
4590010,0.108000,0.083000
4600010,0.122000,0.083000
4610010,0.109000,0.083000
4620010,0.108000,0.085000
4630010,0.107000,0.083000
4640010,0.109000,0.084000
4650010,0.110000,0.083000
4660010,0.109000,0.084000
4670010,0.109000,0.084000
4680010,0.110000,0.086000
4690010,0.109000,0.084000
4700010,0.110000,0.084000
4710010,0.111000,0.085000
4720010,0.115000,0.085000
4730010,0.110000,0.091000
4740010,0.113000,0.084000
4750010,0.114000,0.086000
4760010,0.117000,0.086000
4770010,0.113000,0.091000
4780010,0.116000,0.088000
4790010,0.113000,0.089000
4800010,0.113000,0.085000
4810010,0.112000,0.086000
4820010,0.112000,0.086000
4830010,0.115000,0.088000
4840010,0.115000,0.086000
4850010,0.114000,0.087000
4860010,0.146000,0.088000
4870010,0.113000,0.088000
4880010,0.118000,0.090000
4890010,0.118000,0.089000
4900010,0.117000,0.089000
4910010,0.114000,0.091000
4920010,0.119000,0.091000
4930010,0.118000,0.091000
4940010,0.116000,0.091000
4950010,0.116000,0.091000
4960010,0.115000,0.094000
4970010,0.119000,0.091000
4980010,0.117000,0.088000
4990010,0.119000,0.089000
5000010,0.117000,0.091000
5010010,0.116000,0.092000
5020010,0.122000,0.089000
5030010,0.117000,0.091000
5040010,0.120000,0.096000
5050010,0.125000,0.095000
5060010,0.130000,0.141000
5070010,0.123000,0.091000
5080010,0.126000,0.099000
5090010,0.125000,0.103000
5100010,0.130000,0.098000
5110010,0.121000,0.093000
5120010,0.122000,0.094000
5130010,0.120000,0.093000
5140010,0.121000,0.091000
5150010,0.123000,0.092000
5160010,0.123000,0.093000
5170010,0.126000,0.094000
5180010,0.122000,0.094000
5190010,0.121000,0.097000
5200010,0.120000,0.095000
5210010,0.121000,0.093000
5220010,0.122000,0.094000
5230010,0.123000,0.094000
5240010,0.126000,0.094000
5250010,0.124000,0.095000
5260010,0.122000,0.094000
5270010,0.122000,0.094000
5280010,0.122000,0.096000
5290010,0.125000,0.095000
5300010,0.123000,0.094000
5310010,0.124000,0.095000
5320010,0.124000,0.095000
5330010,0.124000,0.096000
5340010,0.148000,0.098000
5350010,0.124000,0.097000
5360010,0.125000,0.096000
5370010,0.125000,0.097000
5380010,0.125000,0.097000
5390010,0.124000,0.099000
5400010,0.125000,0.097000
5410010,0.126000,0.096000
5420010,0.127000,0.097000
5430010,0.126000,0.098000
5440010,0.130000,0.100000
5450010,0.127000,0.097000
